	Satcat	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	NORAD_CAT_ID	EPOCH	Orb	Inc	Ecc	MnM	ApA	PeA	AvA	LAN	AgP	MnA	SMa	T	Vel	SGP4_R	SGP4_V	Time	F107	Ap
0	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694258156.0	84039	97.3	0.001	15.5	421.9	410.8	416.3	274.2	148.6	211.6	5574.0	7659.0	424.234	7.654		1694258156.0	161.2596990740741	7.158194444444444
1	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694297196.0	84056	97.3	0.001	15.5	421.6	410.3	416.0	274.6	147.8	212.4	5573.0	7660.0	423.906	7.654		1694297196.0	161.828125	6.9725
2	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694347387.0	84055	97.3	0.001	15.5	421.3	410.0	415.6	275.2	146.1	214.1	5573.0	7660.0	423.475	7.655		1694347387.0	163.28041087962964	3.487013888888889
3	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694347387.0	84055	97.3	0.001	15.5	421.3	410.0	415.6	275.2	146.1	214.1	5573.0	7660.0	423.475	7.655		1694347387.0	163.28041087962964	3.487013888888889
4	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694347387.0	84065	97.3	0.001	15.5	421.3	410.0	415.6	275.2	146.1	214.1	5573.0	7660.0	423.475	7.655		1694347387.0	163.28041087962964	3.487013888888889
5	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694347387.0	84065	97.3	0.001	15.5	421.3	410.0	415.6	275.2	146.1	214.1	5573.0	7660.0	423.475	7.655		1694347387.0	163.28041087962964	3.487013888888889
6	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694408726.0	84066	97.3	0.001	15.5	420.9	409.5	415.2	276.0	144.8	215.4	5572.0	7660.0	422.971	7.655		1694408726.0	169.6763310185185	3.386319444444444
7	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694436605.0	84081	97.3	0.001	15.5	420.5	409.3	414.9	276.3	144.1	216.1	5572.0	7660.0	422.604	7.655		1694436605.0	173.70975115740742	4.354340277777778
8	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694520233.0	84086	97.3	0.001	15.5	419.9	408.6	414.2	277.3	141.9	218.3	5571.0	7661.0	421.792	7.656		1694520233.0	159.16324421296298	18.548541666666665
9	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694559255.0	84103	97.3	0.001	15.5	419.4	408.1	413.7	277.7	141.5	218.7	5571.0	7661.0	421.311	7.656		1694559255.0	151.27269097222222	21.569618055555555
10	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694603846.0	84101	97.3	0.001	15.5	418.9	407.6	413.2	278.2	139.9	220.2	5570.0	7661.0	420.709	7.656		1694603846.0	145.64720601851852	17.956921296296297
11	32789.0	3.0	0	3.0	0	3.0	0	0.3	0	0.1	0	0.3	0	32789	1694609419.0	84112	97.3	0.001	15.5	418.9	407.5	413.2	278.3	139.8	220.4	5570.0	7661.0	420.65	7.656		1694609419.0	144.94413078703704	17.505405092592593
